# Duplicate-port modules retired during audit remediation P3.
# Format: <src file>  <OCCT class>  <canonical file>  <reason>
# A file is retired only when: its class claim was already demoted to
# occt-ref, it is canonical for no other class, and nothing imports it
# (its mirror tests/occt_suite/occt_<stem>.rs test file goes with it).
# Losers with unique reference value keep their file + occt-ref marker instead.
gp_quart.rs  gp_Quaternion  gp.rs  misspelled duplicate port; gp_quaternion.rs kept as the richer reference
geom_cut_tool.rs  BRepAlgoAPI_Cut  brep_algo_api.rs  siloed duplicate of the BSP boolean engine; zero dependents
geom_fuse.rs  BRepAlgoAPI_Cut  brep_algo_api.rs  siloed duplicate of the BSP boolean engine; zero dependents
topo_exp_ext.rs  TopExp  top_exp.rs  siloed TopExp re-port; zero dependents
topo_explorer.rs  TopExp  top_exp.rs  siloed TopExp re-port; zero dependents
topo_shape_tools.rs  TopExp  top_exp.rs  siloed TopExp re-port; zero dependents
bspl_convert.rs  BSplCLib  bspl_clib.rs  siloed B-spline utility duplicate; zero dependents
geom_b_spline_restrict.rs  BSplCLib  bspl_clib.rs  siloed B-spline utility duplicate; zero dependents
geom_triangle_mesh.rs  Poly_Triangulation  mesh.rs  siloed triangulation duplicate; zero dependents
mesh_data.rs  Poly_Triangulation  mesh.rs  siloed triangulation duplicate; zero dependents
brep_compound_builder.rs  BRep_Builder  rw_brep.rs  siloed BRep_Builder re-port; zero dependents
brep_make_face.rs  BRep_Builder  rw_brep.rs  siloed BRep_Builder re-port; zero dependents
brep_topology_builder.rs  BRep_Builder  rw_brep.rs  siloed BRep_Builder re-port; zero dependents
topo_orient.rs  BRep_Builder  rw_brep.rs  siloed BRep_Builder re-port; zero dependents
topods_compound_builder.rs  BRep_Builder  rw_brep.rs  siloed BRep_Builder re-port; zero dependents
